1,63
2,62
3,61
4,60
5,59
6,58
7,57
8,56
9,55
10,54
11,53
12,52
13,51
14,75
15,74
16,73
17,72
18,71
19,70
20,69
21,68
22,67
23,66
24,65
25,64
26,87
27,86
28,85
29,84
30,83
31,82
32,81
33,80
34,79
35,78
36,77
37,76
38,100
39,99
40,98
41,97
42,96
43,95
44,94
45,93
46,92
47,91
48,90
49,89
50,88
51,13
52,12
53,11
54,10
55,9
56,8
57,7
58,6
59,5
60,4
61,3
62,2
63,1
64,25
65,24
66,23
67,22
68,21
69,20
70,19
71,18
72,17
73,16
74,15
75,14
76,37
77,36
78,35
79,34
80,33
81,32
82,31
83,30
84,29
85,28
86,27
87,26
88,50
89,49
90,48
91,47
92,46
93,45
94,44
95,43
96,42
97,41
98,40
99,39
100,38
